job id, number of items, reward, weight, ratio, cancellation
11837,1,11.55,0.41,28.170732,false
12407,2,23.1,0.82,28.170732,false
25584,6,69.3,2.46,28.170732,false
26902,6,38.7,2.0700002,18.69565,false
19238,4,53.050003,3.1100001,17.057878,false
28601,3,37.79,2.22,17.022522,false
12761,5,64.03,4.0299997,15.888338,false
20737,7,90.270004,5.8399997,15.457193,false
23368,8,92.67999,6.6,14.042423,false
17225,8,97.9,7.6299996,12.830932,false
21022,3,35.83,2.9099998,12.3127165,false
22389,3,35.83,2.9099998,12.3127165,false
25499,7,91.45,7.5199995,12.160905,false
21008,4,48.74,4.16,11.716347,false
10544,8,107.5,9.76,11.014344,false
16669,13,185.04001,16.86,10.975089,false
20261,6,73.020004,6.66,10.963964,false
21504,4,44.850002,4.1,10.939025,false
28343,4,66.6,6.2000003,10.741935,false
13139,3,44.07,4.2,10.492858,false
20417,3,44.07,4.2,10.492858,false
14904,3,44.07,4.2,10.492858,false
14974,3,44.07,4.2,10.492858,false
16033,3,44.07,4.2,10.492858,false
21038,3,44.07,4.2,10.492858,false
21146,3,44.07,4.2,10.492858,false
16655,6,88.14,8.4,10.492858,false
22279,3,44.07,4.2,10.492858,false
12336,3,44.07,4.2,10.492858,false
23007,3,44.07,4.2,10.492858,false
11026,3,44.07,4.2,10.492858,false
17351,3,44.07,4.2,10.492858,false
18000,3,44.07,4.2,10.492858,false
18402,3,44.07,4.2,10.492858,false
27433,3,44.07,4.2,10.492858,false
18878,3,44.07,4.2,10.492858,false
12276,3,44.07,4.2,10.492858,false
10301,1,14.69,1.4,10.492857,false
18017,2,29.38,2.8,10.492857,false
18217,5,73.45,7.0,10.492857,false
11124,2,29.38,2.8,10.492857,false
18435,1,14.69,1.4,10.492857,false
18441,1,14.69,1.4,10.492857,false
18453,2,29.38,2.8,10.492857,false
18524,4,58.76,5.6,10.492857,false
18572,1,14.69,1.4,10.492857,false
18738,1,14.69,1.4,10.492857,false
